iter	MAE	RMSE
327	0.3012923635	0.4325067994
328	0.300707732	0.4317596895
329	0.3001899482	0.4311436168
330	0.2996513091	0.4304461797
331	0.2992084182	0.4295904479
332	0.2986655813	0.4287038013
333	0.2982923622	0.428155522
334	0.2979541031	0.4272532328
335	0.2974433691	0.4265285846
336	0.2970960724	0.4257390483
337	0.2965047838	0.4248456981
338	0.2961432708	0.4241695327
339	0.29544241	0.4230491483
340	0.2949896952	0.4220775294
341	0.2945634937	0.4212426048
342	0.2940603327	0.4204713544
343	0.2936892657	0.4194963673
344	0.2931413575	0.4188150747
345	0.2927911441	0.4182188758
346	0.2924134434	0.417643813
347	0.2920701282	0.4167572655
348	0.2916962285	0.4159690515
349	0.2913008076	0.4152692493
350	0.2908610335	0.414749139
351	0.2903905028	0.4140233389
352	0.2900199511	0.4132144034
353	0.2895145677	0.4123829834
354	0.2889128333	0.4114692686
355	0.2884056063	0.4107751025
356	0.288002391	0.4099827314
357	0.2873622468	0.4091551702
358	0.286843864	0.4084920078
359	0.2864612105	0.4079791736
360	0.2859946749	0.4073787188
361	0.2856678479	0.4065579925
362	0.2852448419	0.4057686332
363	0.2848906802	0.4049058225
364	0.2845102721	0.4040713831
365	0.284039864	0.4031357882
366	0.2836473324	0.4024621288
367	0.2832206968	0.4019082691
368	0.2826042466	0.4009605169
369	0.2822002631	0.400159068
370	0.28185272	0.3994115611
371	0.2815425403	0.3987674608
372	0.281201932	0.3980370091
373	0.2808235264	0.3974739007
374	0.280320837	0.3967280846
375	0.2799886216	0.3962410861
376	0.2795404786	0.3956439723
377	0.2792241914	0.3949197296
378	0.278817106	0.3943798071
379	0.2784983527	0.3937550928
380	0.2780341402	0.3929190831
381	0.277724323	0.3922281388
382	0.2774001167	0.3915737344
383	0.2771533752	0.3909796971
384	0.276880528	0.3903526844
385	0.2764606668	0.3898812509
386	0.2761815755	0.389295144
387	0.2758560915	0.388726569
388	0.2754594207	0.3881939762
389	0.2750624737	0.3874520049
390	0.2747720778	0.3868166781
391	0.2743747151	0.3861856738
392	0.2739359264	0.3855036138
393	0.2736501775	0.384827022
394	0.2733607833	0.3842767471
395	0.2729217226	0.3837947037
396	0.2726222838	0.3833256536
397	0.2721727409	0.3827293381
398	0.2717461415	0.3819248312
399	0.2714061597	0.3814232659
400	0.2710184265	0.3809738085
401	0.270742553	0.3803248821
402	0.2704051993	0.3797372675
403	0.2699255749	0.3788830134
404	0.2694918943	0.378233368
405	0.2691346415	0.3774849134
406	0.2687318235	0.3768246208
407	0.2682364618	0.3760909605
408	0.2679633646	0.3755088687
409	0.2675911192	0.3747063172
410	0.2672337328	0.3740109781
411	0.2669672047	0.3734246521
412	0.2664915982	0.3726353634
413	0.2661418489	0.3721566408
414	0.2658913188	0.3716335264
415	0.2656083886	0.3711983379
416	0.2652555259	0.3706853529
417	0.2649757981	0.3701575173
418	0.2647130062	0.3696234749
419	0.2642888024	0.3690556841
420	0.2639023963	0.3683454279
421	0.2636172075	0.3677561215
422	0.2632016582	0.36721885
423	0.2628232356	0.3667257944
424	0.2623806025	0.3660602934
425	0.2618845398	0.3652965687
426	0.2615416244	0.3648016504
427	0.2611354087	0.3642695607
428	0.2608738607	0.3636891984
429	0.2606383752	0.3631872379
430	0.2602037314	0.3624848716
431	0.2599406047	0.3619586127
432	0.2595155494	0.3613640644
433	0.2592631572	0.3608119957
434	0.2589507296	0.3604034016
435	0.2586499428	0.3598344148
436	0.2584206745	0.3593509168
437	0.2581735156	0.3588714393
438	0.2577936652	0.358203881
439	0.2573750828	0.3576526521
440	0.2571041749	0.3571754889
441	0.2567725541	0.3565147558
442	0.2563853733	0.3558675617
443	0.2561603108	0.3554143649
444	0.2557421142	0.3548202016
445	0.2555227876	0.3543806495
446	0.2552053291	0.3539711508
447	0.2548116469	0.3533288102
448	0.2544755513	0.3528289553
449	0.2542437826	0.3523165092
450	0.2539475103	0.3518871782
451	0.2534340872	0.3511924005
452	0.2530043942	0.3504412605
453	0.2527684796	0.3499606828
454	0.2524844293	0.3495832346
455	0.2522506625	0.3491032384
456	0.2519708769	0.3487108796
457	0.2516446551	0.3482979135
458	0.2511650007	0.3475000359
459	0.2508116483	0.3470902924
460	0.250553025	0.3466863965
461	0.2502018654	0.3461798254
462	0.2498294027	0.3456866642
463	0.249390124	0.3451123183
464	0.2491607055	0.3446435185
465	0.2489276036	0.344174491
466	0.2486194382	0.3436182145
467	0.2482528333	0.3430793175
468	0.2477757142	0.342254702
469	0.2473670399	0.341554105
470	0.2470171363	0.3411102632
471	0.2467413146	0.3405764349
472	0.2465249104	0.3401282236
473	0.2461397133	0.3394116391
474	0.2458170987	0.3389470565
475	0.2453990478	0.3382973498
476	0.2451777025	0.3378560903
477	0.2448634807	0.3372657514
478	0.2446414135	0.336804076
479	0.2444177092	0.336348047
480	0.2440859542	0.3358025843
481	0.243771911	0.3354429593
482	0.2435482223	0.3351073316
483	0.243176387	0.3344260506
484	0.2428788807	0.3339455591
485	0.2427345848	0.3335506092
486	0.2422801586	0.3328177213
487	0.2419923958	0.3323608003
488	0.2417210537	0.3319021224
489	0.2415119764	0.3314485736
490	0.2413110434	0.3310380042
491	0.2410864648	0.3305742873
492	0.2408622838	0.3302080444
493	0.2405097655	0.3295934651
494	0.2401115382	0.3289410822
495	0.2397683012	0.328502336
496	0.2395365161	0.3281078555
497	0.2391904839	0.3275861648
498	0.2388601282	0.3269465319
499	0.2384693934	0.3264054755
500	0.2382796691	0.3260296955
501	0.2380912945	0.3256667496
502	0.23772878	0.3252539472
503	0.2375320134	0.3248888309
504	0.2372694528	0.324596682
505	0.2368964683	0.3239012692
506	0.2364445125	0.3232090934
507	0.2361005174	0.3226100167
508	0.2359216574	0.322231894
509	0.2356718941	0.3218619914
510	0.2353244257	0.3213760066
511	0.2351467213	0.3210782842
512	0.2347861087	0.3204168525
513	0.2345038897	0.3200930289
514	0.2343349579	0.319724286
